State,tree_cover_gain,Lat,Long
Johor,102271.24079941900000000,1.937344,103.366585
Kedah,44640.65656397810000000,6.155672,100.569649
Kelantan,23027.94553782420000000,5.145506,101.654137
Kuala Lumpur,862.61888547174800000,3.1319,101.6841
Labuan,188.30723913139700000,5.2831,115.2308
Melaka,12985.83085185650000000,2.346257,102.253067
Negeri Sembilan,41198.43480714350000000,2.879705,102.164253
Pahang,117174.16630856400000000,3.974341,102.438057
Perak,67955.64233273040000000,4.693950,101.117577
Perlis,4735.26157143797000000,6.443589,100.216599
Pulau Pinang,2736.85779220767000000,5.285153,100.456238
Putrajaya,889.74883095069100000,2.9264,101.6964
Sabah,217128.10490862100000000,5.420404,116.796783
Sarawak,302061.52217183200000000,2.5574,113.0012
Selangor,39703.06700045300000000,3.509247,101.524803
Terengganu,29637.99413937310000000,5.0936,102.9896