State,tree_cover_gain
Johor,102271.24079941900000000
Kedah,44640.65656397810000000
Kelantan,23027.94553782420000000
Kuala Lumpur,862.61888547174800000
Labuan,188.30723913139700000
Melaka,12985.83085185650000000
Negeri Sembilan,41198.43480714350000000
Pahang,117174.16630856400000000
Perak,67955.64233273040000000
Perlis,4735.26157143797000000
Pulau Pinang,2736.85779220767000000
Putrajaya,889.74883095069100000
Sabah,217128.10490862100000000
Sarawak,302061.52217183200000000
Selangor,39703.06700045300000000
Terengganu,29637.99413937310000000